Moisture,Category_One_Defects,Category_Two_Defects,Quakers,Altitude,Variety,Processing_Method,Country_of_Origin,Color,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Total_Cup_Points,Classe
0.11,0,0,0.0,1311.0,Unknown,Washed / Wet,Mexico,Green,7.33,7.58,7.42,7.5,7.5,7.5,10.0,10.0,10.0,82.33,Tradicional
0.1,4,6,0.0,1311.0,Unknown,Washed / Wet,Outros,Green,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,85.75,Gourmet
0.0,0,4,0.0,1311.0,Unknown,Washed / Wet,Mexico,Green,7.42,7.42,7.67,8.0,7.58,7.5,9.33,9.33,10.0,81.67,Tradicional
0.12,0,5,0.0,1311.0,Unknown,Washed / Wet,Outros,Green,7.83,7.75,7.58,7.83,7.92,7.58,9.33,10.0,10.0,83.33,Superior
0.09,0,0,0.0,800.0,Unknown,Natural / Dry,Outros,Bluish-Green,7.5,7.67,7.58,7.75,7.83,7.83,10.0,10.0,10.0,83.83,Superior
0.11,0,0,0.0,1038.5,Mundo Novo,Natural / Dry,Brazil,Blue-Green,7.33,7.67,7.42,7.17,7.33,7.42,10.0,10.0,10.0,82.0,Tradicional
0.11,0,3,0.0,1038.5,Mundo Novo,Natural / Dry,Brazil,Green,7.58,7.83,7.75,7.67,7.67,8.0,10.0,10.0,10.0,84.17,Gourmet
0.11,0,4,0.0,1625.0,Caturra,Washed / Wet,Colombia,Unknown,7.5,7.75,7.5,7.75,7.67,7.67,10.0,10.0,10.0,83.67,Superior
0.0,1,4,0.0,1900.0,Catuai,Pulped natural / honey,Costa Rica,Green,7.25,7.33,7.5,7.33,7.67,7.42,10.0,10.0,10.0,81.83,Tradicional
0.12,1,1,1.0,1900.0,Catuai,Washed / Wet,Costa Rica,Green,7.83,8.0,7.58,7.92,7.92,7.83,10.0,10.0,10.0,85.0,Gourmet
0.11,0,0,0.0,1900.0,Catuai,Pulped natural / honey,Costa Rica,Green,7.5,7.5,7.83,7.5,7.67,7.67,10.0,10.0,10.0,83.25,Superior
0.12,0,2,0.0,1000.0,Unknown,Washed / Wet,Outros,Green,6.83,6.5,6.5,6.92,6.75,7.0,9.33,10.0,9.33,75.83,Tradicional
0.11,1,26,0.0,914.0,Other,Natural / Dry,Outros,Green,8.0,7.08,7.0,7.33,7.08,6.92,10.0,10.0,10.0,80.25,Tradicional
